Student_ID,Course_ID,Login_Frequency,Time_Spent_Modules,Participation_Forums,Quiz_Performance_Average,Assignment_Submissions,Resource_Access_Frequency,Session_Duration_Average,Device_Type,Internet_Bandwidth,Engagement_Level,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
S0018,C104,8,10.6,28,47.1,0,27,92,Laptop,87.1,Inactive,22,70,Low,Medium,Yes,6,82,Medium,Yes,1,Low,High,Public,Neutral,3,No,High School,Near,Female,65
S0019,C112,3,8,2,47.1,2,5,30.7,Mobile,74.7,Inactive,15,80,Medium,Medium,Yes,9,91,Low,Yes,3,Low,Medium,Public,Positive,2,No,College,Moderate,Female,67
S0020,C128,6,13.4,11,79,9,50,34,Laptop,54.5,Inactive,12,75,Medium,High,Yes,7,58,Medium,Yes,3,Medium,Medium,Private,Positive,4,No,College,Near,Male,66
S0021,C130,5,28.6,25,84.8,8,25,46.4,Laptop,87.5,Inactive,29,78,Medium,Medium,No,5,99,High,Yes,0,High,Medium,Public,Negative,1,No,High School,Moderate,Female,69
S0022,C165,2,13.1,15,75,4,94,46.6,Mobile,28.3,Inactive,19,99,Medium,High,No,6,84,Medium,Yes,1,Medium,High,Public,Neutral,3,No,High School,Near,Male,72
S0023,C178,8,18,36,97.7,5,40,93.2,Tablet,19.9,Inactive,20,74,Medium,High,No,8,89,Low,Yes,1,Medium,Medium,Public,Negative,2,No,College,Moderate,Female,66
S0024,C104,12,22.6,21,62.5,3,58,45.1,Mobile,20.2,Inactive,11,78,High,Medium,Yes,8,100,High,Yes,1,Low,Medium,Public,Neutral,3,No,High School,Moderate,Male,66
S0025,C172,14,14.1,28,57.1,9,91,83.3,Laptop,36.7,Inactive,17,65,Low,High,Yes,5,75,Medium,Yes,2,Low,Medium,Public,Positive,3,No,High School,Near,Female,63
S0026,C126,6,29.3,13,92.1,1,61,69.4,Tablet,27.7,Inactive,21,62,High,Low,Yes,6,54,High,Yes,0,High,High,Public,Positive,3,No,Postgraduate,Far,Male,64
S0027,C192,2,29.1,27,53.4,7,5,77.3,Mobile,93.4,Inactive,13,91,Low,Medium,No,6,90,Medium,Yes,1,High,Medium,Public,Negative,2,Yes,High School,Moderate,Female,65
S0028,C184,12,11.3,4,97.8,5,67,103.8,Mobile,15.1,Inactive,22,83,High,High,Yes,6,94,Medium,Yes,0,High,Medium,Public,Neutral,2,No,College,Moderate,Male,71
S0029,C190,5,17.4,46,40.7,4,58,60.4,Tablet,71.4,Inactive,16,90,Medium,Medium,No,4,58,Medium,Yes,1,Low,Medium,Public,Neutral,3,No,High School,Moderate,Female,66
S0030,C170,1,12.5,48,98.2,8,59,97.1,Laptop,23,Inactive,18,66,High,High,No,4,51,Low,Yes,2,Low,Medium,Private,Neutral,2,No,College,Near,Male,64
S0031,C154,12,12.1,29,42.6,0,44,62.2,Mobile,88.8,Inactive,16,83,Low,Medium,No,6,57,Medium,Yes,0,High,Low,Public,Positive,4,Yes,High School,Near,Female,63
S0032,C129,10,5.9,45,93.5,4,19,55.4,Mobile,96.3,Inactive,31,70,Medium,High,Yes,7,66,Medium,Yes,1,High,Medium,Public,Negative,3,No,College,Near,Male,69
S0033,C158,6,20.2,4,71.7,5,25,115.9,Mobile,49.2,Inactive,20,69,Medium,Medium,Yes,8,96,Medium,Yes,2,Medium,High,Public,Positive,3,No,High School,Near,Male,67
S0034,C176,13,17.6,11,99.6,4,51,38.4,Laptop,88.5,Inactive,25,65,High,Medium,No,5,90,Medium,Yes,2,Medium,Medium,Public,Positive,3,No,College,Moderate,Female,68
S0035,C136,12,6.3,15,44.4,5,77,29,Mobile,5.5,Inactive,13,72,Low,Medium,No,6,93,Low,Yes,1,Low,Medium,Public,Negative,3,No,High School,Near,Male,61
S0036,C101,9,12,25,73.2,5,57,97.1,Tablet,82.9,Inactive,21,65,Medium,Low,Yes,7,91,Low,Yes,2,Medium,High,Public,Positive,3,No,High School,Far,Female,64
S0037,C198,1,27.7,25,98.2,6,13,26.8,Tablet,26.7,Inactive,8,99,Medium,Medium,No,9,54,Low,Yes,2,Low,Medium,Public,Neutral,5,No,Postgraduate,Near,Female,67
S0038,C121,11,11,47,71.4,3,78,103.7,Mobile,91.3,Inactive,12,72,Low,Medium,Yes,8,84,Medium,Yes,1,Low,Medium,Public,Positive,5,No,High School,Near,Female,63
S0039,C190,11,8.6,20,77.8,7,56,63.7,Mobile,5.1,Inactive,21,65,Low,Medium,Yes,6,98,Low,Yes,1,Medium,High,Public,Negative,4,No,High School,Near,Male,64
S0040,C155,10,17.2,38,81.7,6,61,111.6,Tablet,57.8,Inactive,24,68,High,Medium,No,8,56,Low,Yes,3,High,High,Public,Neutral,1,No,College,Near,Male,67
S0041,C144,12,29.6,35,67.3,8,30,92.2,Tablet,76.9,Inactive,21,84,Medium,Medium,Yes,6,52,Low,Yes,1,Medium,High,Public,Neutral,2,Yes,College,Far,Female,65
S0042,C136,12,11.1,32,77.7,6,45,81,Mobile,29.6,Inactive,19,63,Low,High,No,7,94,Medium,Yes,1,Medium,Medium,Private,Positive,3,No,High School,Moderate,Male,64
S0043,C120,14,21.8,29,75.1,2,39,114.9,Tablet,23.3,Inactive,18,94,Medium,High,Yes,7,82,Medium,Yes,3,Medium,Medium,Private,Negative,2,Yes,College,Near,Male,70
S0044,C128,14,24,36,94.1,2,67,59.7,Laptop,13,Inactive,11,98,Medium,Medium,Yes,9,82,Low,Yes,1,Medium,Medium,Private,Positive,3,No,Postgraduate,Far,Male,68
S0045,C198,14,10.9,22,42.7,7,29,115.4,Laptop,36,Inactive,16,70,Medium,Medium,Yes,8,98,Medium,Yes,2,Medium,Medium,Public,Positive,3,No,High School,Moderate,Male,65
S0046,C144,3,23.2,9,56.9,4,94,33.5,Laptop,58.2,Inactive,17,78,Medium,Medium,Yes,6,88,Medium,Yes,1,Medium,High,Private,Positive,3,No,College,Near,Female,68
S0047,C114,12,14.2,4,97,3,79,68.4,Laptop,16,Inactive,26,61,Medium,Low,Yes,6,70,Medium,Yes,2,Low,Medium,Public,Positive,3,No,High School,Moderate,Female,64
S0048,C112,7,20.8,35,93.4,7,42,47,Tablet,40.8,Inactive,22,86,Low,Medium,Yes,7,72,Low,Yes,3,Low,High,Public,Positive,2,No,High School,Moderate,Male,68
S0049,C149,4,20.8,33,67.3,5,6,74,Laptop,5.9,Inactive,9,77,Medium,Medium,No,5,57,Medium,Yes,2,Medium,High,Public,Neutral,3,No,High School,Near,Male,63
S0050,C113,9,18.4,30,77.2,1,11,36.2,Mobile,82.8,Inactive,22,71,Low,Medium,Yes,7,65,Low,Yes,1,Medium,Low,Public,Positive,4,No,College,Moderate,Male,64
S0051,C146,3,7.3,9,56.6,3,86,104.2,Mobile,17.2,Inactive,18,68,High,Medium,No,7,72,Medium,Yes,0,Medium,Medium,Public,Neutral,3,No,College,Near,Male,64
S0052,C145,5,25.9,18,51.3,3,95,104.6,Laptop,31.9,Inactive,16,86,Low,Medium,Yes,8,63,Medium,Yes,2,Medium,Medium,Public,Positive,4,No,High School,Near,Male,67
S0053,C178,3,13,31,67.8,5,38,115.5,Mobile,6.8,Inactive,24,77,High,Low,No,8,96,Medium,Yes,0,Medium,Medium,Public,Neutral,3,No,High School,Near,Female,67
S0054,C134,7,9.7,0,61.2,5,95,35.5,Laptop,46.1,Inactive,26,67,Medium,High,Yes,7,51,Low,Yes,2,High,High,Private,Neutral,4,Yes,Postgraduate,Far,Female,66
S0055,C106,5,6,4,75,0,21,82.3,Laptop,84.8,Inactive,26,88,Medium,High,Yes,5,79,Medium,Yes,1,Low,High,Private,Positive,4,No,College,Moderate,Male,72
S0056,C194,9,19.8,44,44.7,7,47,67.4,Laptop,42.3,Inactive,15,83,Medium,High,No,5,89,Low,No,1,Medium,High,Public,Neutral,2,Yes,High School,Near,Female,65
S0057,C159,7,21.9,3,98.5,5,63,54.4,Mobile,22.1,Inactive,18,94,Medium,Medium,Yes,6,87,High,Yes,1,Medium,Medium,Public,Positive,4,No,High School,Near,Male,71
S0058,C169,2,5.4,15,99.2,2,55,55.2,Mobile,76.6,Inactive,22,65,High,Low,No,8,82,Medium,Yes,2,Medium,High,Public,Positive,1,No,Postgraduate,Near,Female,66
S0059,C116,4,17.8,23,81.9,8,58,61.3,Laptop,79.9,Inactive,26,91,Medium,Low,Yes,8,71,Medium,Yes,0,Low,Medium,Private,Neutral,3,No,High School,Moderate,Male,68
S0060,C149,9,10.7,15,72.2,1,28,90.5,Laptop,21.5,Inactive,17,87,Medium,Medium,No,7,96,Medium,Yes,1,High,Medium,Public,Negative,5,No,Postgraduate,Near,Female,70
S0061,C111,12,21.1,1,58.6,7,29,79.8,Laptop,78.2,Inactive,19,65,Medium,Medium,Yes,10,66,Low,Yes,0,Low,Medium,Public,Positive,3,No,High School,Moderate,Male,62
S0062,C171,14,9.4,48,88.8,9,75,66,Laptop,95,Inactive,13,88,Low,High,Yes,9,88,High,Yes,2,Low,High,Private,Negative,4,No,Postgraduate,Far,Male,68
S0063,C138,2,22.3,27,81.1,2,56,27.6,Tablet,20.8,Inactive,13,78,Medium,High,Yes,9,96,High,Yes,2,Low,Medium,Public,Neutral,3,No,College,Moderate,Male,67
S0064,C181,10,14.7,31,49.8,4,74,27.8,Laptop,78.2,Inactive,25,98,Low,High,Yes,8,56,Medium,No,0,Medium,High,Private,Neutral,3,No,Postgraduate,Near,Male,71
S0065,C180,9,28.4,26,94.7,5,92,20.2,Mobile,72.3,Inactive,28,66,Medium,High,Yes,8,97,Medium,Yes,0,Medium,Medium,Public,Neutral,2,No,High School,Near,Male,68
S0066,C147,10,8.4,19,89.4,9,37,116.8,Laptop,50,Inactive,20,86,Medium,Medium,Yes,8,89,Medium,Yes,1,Low,Medium,Public,Negative,3,No,Postgraduate,Near,Male,69
S0067,C174,5,13.5,23,97,5,53,20.5,Tablet,10.5,Inactive,26,75,Low,High,Yes,4,81,High,Yes,3,Medium,High,Private,Positive,2,No,High School,Moderate,Male,70
S0068,C125,2,7.8,11,83.5,3,33,30.3,Mobile,12.1,Inactive,22,98,Medium,High,No,5,69,Low,No,1,Low,High,Public,Negative,4,No,High School,Moderate,Female,69
S0069,C191,4,28.1,49,76.8,2,67,51.5,Tablet,86,Inactive,16,73,Medium,Medium,No,7,95,Medium,Yes,1,Low,Medium,Public,Negative,4,No,College,Near,Male,65
S0070,C109,12,26.9,34,65.1,3,26,100.7,Laptop,99.1,Inactive,22,98,Medium,Low,Yes,7,52,Medium,No,3,Medium,Medium,Public,Positive,3,No,College,Near,Female,70
S0071,C106,12,11.4,32,96,0,30,116.2,Mobile,69.2,Inactive,29,96,Medium,Low,Yes,7,72,Medium,Yes,1,Low,Medium,Public,Positive,3,No,High School,Moderate,Male,71
S0072,C185,7,21.5,32,92,3,32,99,Laptop,47.4,Inactive,20,71,Medium,Medium,Yes,7,88,Medium,Yes,1,Low,Low,Public,Neutral,4,No,College,Near,Female,65
S0073,C130,12,25.4,42,42.7,0,89,89.1,Mobile,66.5,Inactive,29,92,Low,Medium,No,4,91,Medium,Yes,2,Medium,Medium,Public,Negative,1,No,Postgraduate,Near,Female,72
S0074,C199,13,18.9,36,41.6,0,53,72.1,Mobile,61.5,Inactive,4,100,High,High,Yes,8,60,High,Yes,0,Medium,High,Private,Positive,4,No,College,Moderate,Male,69
S0075,C138,8,18.2,11,62.6,9,75,28.7,Mobile,41.4,Inactive,25,70,Medium,Medium,No,7,52,Medium,Yes,1,Medium,Medium,Public,Positive,3,No,Postgraduate,Near,Female,66
S0076,C111,3,11,2,88.6,5,85,115.8,Tablet,11.2,Inactive,21,77,Low,Medium,Yes,7,90,Medium,Yes,4,Medium,Medium,Private,Neutral,3,No,Postgraduate,Moderate,Male,68
S0077,C130,14,7.3,0,99.2,4,88,95.8,Laptop,83,Inactive,18,81,High,Low,Yes,8,71,Medium,Yes,0,Medium,Medium,Public,Neutral,3,No,High School,Moderate,Female,65
S0078,C113,1,27.4,32,49,3,53,83.9,Tablet,40.3,Inactive,21,72,Medium,Medium,Yes,5,57,Medium,Yes,1,High,Medium,Public,Neutral,5,Yes,College,Moderate,Male,64
S0079,C149,4,27.5,39,75.6,2,24,95.9,Tablet,82.8,Inactive,8,61,Medium,Medium,Yes,7,54,Medium,Yes,1,High,Medium,Public,Positive,3,No,College,Near,Male,60
S0080,C136,2,20.8,9,62.9,0,90,92.4,Laptop,29,Inactive,19,69,Medium,High,Yes,7,82,High,Yes,1,Low,Medium,Public,Negative,2,No,High School,Near,Male,65
S0081,C159,8,13.5,42,98.2,5,96,83.7,Laptop,5.1,Inactive,22,71,High,Medium,No,6,79,High,Yes,1,Low,Low,Public,Positive,3,No,High School,Near,Male,66
S0082,C182,4,13.7,43,90.5,1,67,118.1,Laptop,20.1,Inactive,29,78,High,High,Yes,4,93,Low,Yes,5,Medium,High,Public,Neutral,3,No,College,Near,Male,74
S0083,C147,2,23.1,28,90.3,7,65,110.3,Mobile,49.5,Inactive,17,67,Medium,Medium,Yes,5,52,High,Yes,2,Medium,Medium,Private,Negative,3,No,High School,Far,Female,62
S0084,C121,14,27.4,12,68.1,9,53,84.7,Tablet,94.7,Inactive,15,95,Medium,Medium,No,7,93,Medium,Yes,2,Low,Medium,Public,Positive,4,No,College,Moderate,Male,70
S0085,C148,6,27.2,11,64.9,4,75,89.3,Tablet,14.7,Inactive,17,88,Medium,High,Yes,7,94,Low,Yes,0,Medium,Medium,Public,Neutral,3,No,High School,Near,Male,69
S0086,C146,6,24.5,30,56.4,6,5,25.2,Tablet,86.1,Inactive,25,63,Medium,High,Yes,7,72,Medium,Yes,3,Medium,High,Private,Negative,4,No,College,Far,Male,67
S0087,C127,10,21.1,45,43.4,9,17,87,Tablet,55.1,Inactive,22,86,Low,Low,No,6,54,Medium,Yes,2,Medium,Medium,Public,Neutral,0,No,High School,Moderate,Male,64
S0088,C186,4,7.1,1,91.9,1,98,24.4,Tablet,83.5,Inactive,17,86,Medium,High,No,5,97,High,Yes,3,High,Medium,Public,Neutral,3,No,College,Near,Male,71
S0089,C135,6,9,49,88.8,7,91,78.8,Mobile,33.3,Inactive,23,98,Medium,Low,Yes,7,54,Low,Yes,0,Medium,Medium,Public,Negative,3,No,College,Near,Female,68
S0090,C190,13,27.5,34,100,1,55,119.9,Laptop,84.8,Inactive,21,60,High,Medium,No,7,80,Medium,Yes,0,Medium,High,Public,Neutral,4,Yes,College,Near,Male,64
S0091,C188,2,20.2,22,99.8,3,60,75.6,Mobile,78.4,Inactive,26,70,Medium,Low,Yes,8,75,Medium,Yes,1,Medium,Low,Private,Neutral,4,Yes,High School,Far,Female,63
S0092,C183,10,5.2,16,73.3,0,87,67.3,Mobile,26.9,Inactive,16,97,Medium,Medium,Yes,6,92,Low,Yes,0,High,Medium,Private,Positive,4,No,College,Near,Male,71
S0093,C110,12,7.5,25,86.1,4,66,51.3,Mobile,17.5,Inactive,18,97,High,Medium,Yes,4,75,Low,Yes,0,Low,Medium,Public,Positive,3,No,High School,Moderate,Male,69
S0094,C178,2,21.6,7,96.7,8,36,32.1,Laptop,87.5,Inactive,18,89,High,Medium,Yes,4,73,Medium,Yes,3,High,Medium,Private,Positive,2,No,College,Near,Female,100
S0095,C182,10,5.1,28,91,0,34,93.1,Laptop,96.5,Inactive,11,91,Medium,Medium,No,6,94,Medium,Yes,3,Medium,Medium,Public,Neutral,3,No,College,Moderate,Male,68
S0096,C122,14,9,25,54.8,8,33,39.3,Tablet,8,Inactive,22,64,Low,Medium,No,7,98,Low,No,1,Medium,Medium,Public,Negative,3,No,High School,Near,Male,62
S0097,C169,4,18.7,9,67,7,53,31.5,Mobile,74.5,Inactive,22,81,Medium,Medium,Yes,7,77,Low,Yes,2,Medium,Medium,Public,Positive,3,No,Postgraduate,Far,Female,68
S0098,C194,14,22.3,25,47.7,5,49,62.2,Tablet,91.4,Inactive,20,69,High,High,Yes,6,73,Medium,Yes,2,Low,Medium,Private,Positive,3,No,High School,Far,Male,66
S0099,C132,8,21.3,33,97.2,6,97,99.5,Laptop,86.4,Inactive,19,67,Low,Medium,No,5,92,High,Yes,0,Medium,Medium,Public,Positive,3,No,College,Near,Male,64
S0100,C121,14,10.6,40,76.4,2,34,94.5,Laptop,96.6,Inactive,12,92,Medium,Medium,No,4,92,High,Yes,2,Medium,High,Public,Neutral,3,Yes,High School,Moderate,Male,67
S0101,C160,7,22.8,6,53.7,0,20,25.5,Laptop,77.2,Inactive,17,65,Medium,High,Yes,8,66,Medium,Yes,1,High,High,Public,Neutral,4,Yes,Postgraduate,Moderate,Female,65
S0102,C149,12,10.9,3,80.3,4,44,65.5,Laptop,47,Inactive,18,79,Medium,Medium,Yes,7,79,Medium,Yes,0,Low,High,Private,Neutral,3,No,College,Far,Male,65
S0103,C135,9,13.1,49,77.1,1,23,72.2,Mobile,34.6,Inactive,15,98,High,Medium,No,6,58,High,Yes,0,Low,High,Public,Positive,3,No,College,Near,Male,69
S0104,C182,14,23.7,44,61.5,4,22,84.5,Tablet,35.5,Inactive,19,67,Medium,Medium,No,5,82,High,Yes,1,Low,Low,Private,Negative,3,No,High School,Near,Male,63
S0105,C189,8,21.2,10,46.8,7,5,85,Laptop,73.8,Inactive,22,99,Medium,Low,Yes,6,92,Low,Yes,3,Medium,Medium,Public,Negative,4,No,Postgraduate,Moderate,Male,72
S0106,C172,5,26.2,28,80.3,8,82,56.5,Tablet,75.9,Inactive,31,100,Medium,Medium,No,7,59,Medium,Yes,2,High,High,Public,Positive,5,No,Postgraduate,Moderate,Male,76
S0107,C129,13,21.4,35,71.2,1,51,76.1,Laptop,24,Inactive,21,82,Medium,High,Yes,7,66,High,Yes,3,Low,Medium,Public,Positive,3,Yes,College,Near,Female,69
S0108,C188,2,19.2,24,86.3,2,70,68.1,Tablet,87.5,Inactive,22,67,Medium,Medium,Yes,7,72,High,Yes,3,Low,High,Public,Positive,2,No,Postgraduate,Moderate,Female,67
S0109,C142,5,7.3,20,71.2,2,96,108.5,Tablet,72.9,Inactive,20,73,High,Medium,Yes,9,92,Medium,Yes,2,Medium,High,Public,Positive,3,No,College,Near,Male,69
S0110,C199,8,14.2,35,91.1,0,98,73,Laptop,58.5,Inactive,8,77,High,Medium,Yes,6,87,Medium,Yes,0,Low,Medium,Public,Neutral,2,No,High School,Moderate,Male,63
S0111,C200,10,11.6,9,73.1,7,42,64.1,Laptop,49.8,Inactive,20,72,Medium,Medium,No,9,66,Medium,Yes,3,Low,High,Private,Positive,3,No,Postgraduate,Near,Male,67
S0112,C108,9,11.1,36,73.7,5,55,60.4,Tablet,56.6,Inactive,20,71,Low,High,Yes,7,62,High,Yes,2,Medium,Medium,Public,Negative,5,No,College,Near,Male,66
S0113,C130,12,29.3,8,92.6,7,67,77.2,Mobile,20.1,Inactive,35,99,High,High,Yes,7,85,Low,Yes,2,Medium,High,Private,Neutral,2,No,Postgraduate,Near,Female,79
S0114,C105,12,14.8,23,64.2,8,8,100.4,Laptop,24.4,Inactive,19,66,Medium,Medium,No,8,74,Medium,Yes,1,High,Medium,Public,Neutral,3,No,High School,Near,Female,64
S0115,C141,12,27.3,34,48,4,5,73.8,Laptop,13.7,Inactive,22,89,High,High,Yes,6,80,Medium,Yes,1,High,High,Public,Positive,3,No,High School,Near,Female,73
S0116,C152,13,20.8,48,41.7,2,12,86.2,Mobile,19.6,Inactive,20,60,Low,High,No,7,82,High,Yes,2,Low,High,Public,Positive,4,Yes,High School,Near,Male,63
S0117,C135,9,24.9,34,85.3,4,33,93.8,Mobile,48.1,Inactive,13,84,Medium,Medium,No,5,78,Medium,Yes,1,Low,High,Public,Positive,2,No,High School,Near,Male,65
S0118,C109,13,17.6,47,77.2,4,59,72,Laptop,55.4,Inactive,27,97,Low,High,Yes,8,81,Medium,Yes,0,High,Medium,Public,Positive,5,No,High School,Near,Female,73
S0119,C128,13,19.4,35,82.2,4,7,62.7,Laptop,6.7,Inactive,25,72,High,High,Yes,8,94,Low,Yes,2,Low,Medium,Private,Positive,4,No,College,Moderate,Female,70
S0120,C173,1,17.3,17,52.8,2,36,107.7,Laptop,80.7,Inactive,25,67,High,Medium,No,9,93,High,Yes,2,Low,High,Public,Positive,3,Yes,High School,Near,Female,68
S0121,C192,9,9.9,48,48.2,9,14,61.8,Laptop,32.9,Inactive,15,86,Medium,Medium,Yes,7,57,Medium,Yes,1,Medium,Medium,Public,Negative,3,No,College,Near,Male,65
S0122,C141,7,23.1,38,40.9,3,78,66.2,Tablet,91.6,Inactive,28,89,Low,High,Yes,9,79,High,Yes,0,Low,Medium,Private,Positive,1,No,College,Moderate,Female,71
S0123,C128,9,12,31,61,8,87,119,Tablet,96.9,Inactive,12,88,Low,Medium,No,6,72,Low,Yes,2,Medium,Medium,Public,Positive,2,No,College,Far,Male,64
S0124,C184,8,5.6,23,75.4,9,38,20,Tablet,22.6,Inactive,24,73,Medium,High,Yes,8,64,Medium,Yes,4,High,Medium,Private,Neutral,3,Yes,College,Moderate,Male,68
S0125,C164,1,21.1,22,63.5,8,91,38.5,Laptop,48.9,Inactive,33,70,Medium,Medium,Yes,6,82,Low,Yes,1,Low,High,Public,Neutral,4,No,College,Near,Male,69
S0126,C151,12,9.4,31,66.2,1,59,58.4,Tablet,5.1,Inactive,14,98,Medium,Medium,No,7,76,Medium,Yes,0,Medium,High,Private,Positive,4,No,College,Moderate,Female,69
S0127,C183,8,28.5,36,94.2,7,96,113.3,Laptop,61.8,Inactive,21,78,Medium,Medium,Yes,10,55,Medium,Yes,1,High,Low,Private,Positive,2,No,College,Near,Male,67
S0128,C159,8,28.8,11,60.9,7,36,27,Laptop,62.7,Inactive,17,94,Low,Medium,Yes,8,65,Low,Yes,4,Medium,Medium,Public,Neutral,6,No,High School,Far,Female,68
S0129,C119,11,27.9,48,70.8,6,54,20.9,Tablet,28.5,Inactive,11,78,Medium,High,Yes,8,51,Medium,Yes,2,Low,Medium,Public,Neutral,3,No,Postgraduate,Near,Male,64
S0130,C134,3,14.3,12,87,7,11,25.3,Laptop,58,Inactive,20,77,Medium,Medium,No,6,87,Low,Yes,0,Low,High,Public,Positive,4,No,High School,Near,Female,66
S0131,C118,1,5.4,22,63.8,2,97,28.9,Tablet,26.4,Inactive,14,66,High,Low,No,7,96,Medium,Yes,3,Low,High,Public,Negative,3,No,High School,Near,Male,63
S0132,C132,8,28.2,24,77.3,5,12,23.8,Tablet,20.3,Inactive,23,77,Medium,Medium,Yes,7,79,Medium,Yes,0,Low,High,Public,Neutral,2,No,High School,Moderate,Male,66
S0133,C196,3,15.7,34,91.7,0,69,68,Tablet,66.9,Inactive,14,81,Medium,Medium,No,9,81,Medium,Yes,1,Low,High,Private,Negative,3,No,Postgraduate,Near,Female,66
S0134,C172,3,29.2,40,97,6,61,78.1,Tablet,36,Inactive,29,61,Medium,High,Yes,7,52,Low,Yes,3,Low,Medium,Private,Positive,3,No,College,Near,Female,67
S0135,C169,1,29.1,29,48.8,0,71,47.2,Tablet,61.1,Inactive,15,78,High,High,No,9,75,Low,Yes,1,Low,Medium,Public,Negative,1,No,High School,Near,Male,65
S0136,C134,11,26.3,16,95.6,8,92,59.8,Mobile,46.2,Inactive,18,91,Low,Medium,Yes,5,76,Medium,Yes,1,Medium,Medium,Public,Neutral,3,No,High School,Near,Female,68
S0137,C196,5,12.4,48,69.5,0,91,29.2,Mobile,98.5,Inactive,25,87,Medium,Low,No,9,52,High,Yes,1,Low,High,Private,Positive,2,No,High School,Near,Male,68
S0138,C175,10,14.6,19,55.5,0,63,53.6,Mobile,19.2,Inactive,13,85,High,Medium,No,6,89,Medium,Yes,0,High,Medium,Private,Neutral,1,Yes,High School,Near,Male,65
